,prix_actuel,prix_min,prix_max,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
BNP,76.19,76.19,76.9,76.43333333333334,-0.026243275160734842,1.2930649406811787,-0.009999999999998049,3.0
BOI,21.95,21.06,21.95,21.386666666666667,4.226020892687562,2.3724531938337567,0.4449999999999997,3.0
BOL,4.854,4.854,5.02,4.957333333333334,-2.881152460984396,2.649493031665738,-0.07200000000000019,3.0
BON,7.66,7.66,7.99,7.87,-4.1301627033792245,2.399478391891883,-0.1650000000000011,3.0
BPOST,2.06,2.06,2.155,2.1075,-4.408352668213446,,0.0,2.0
BREB,110.0,110.0,112.4,111.2,-2.1352313167259838,,0.0,2.0
BRNL,8.31,8.31,8.65,8.48,-3.930635838150287,,0.0,2.0
BSD,4.2,4.2,4.3,4.260000000000001,-1.8691588785046744,1.9748581043788436,-0.04000000000000047,3.0
BSGR,5.89,5.89,5.9,5.895,-0.16949152542374024,,0.0,2.0
BTLS,4.33,4.33,4.82,4.575,-10.165975103734445,,0.0,2.0
BUI,3.82,3.82,3.82,3.82,0.0,,0.0,2.0
BUR,382.0,382.0,383.0,382.3333333333333,-0.26109660574412535,0.1846231804664624,-0.5000000000000092,3.0
BVI,25.78,25.72,25.92,25.80666666666667,0.2332814930015641,0.9317747110632876,0.029999999999998778,3.0
CA,12.22,12.22,12.41,12.318666666666667,-0.8599707934447498,1.5644805821856411,-0.05300000000000144,3.0
CABKA,1.75,1.75,1.815,1.7825,-3.5812672176308515,,0.0,2.0
CAF,85.0,85.0,102.5,96.0,-17.073170731707318,9.525906424867186,-8.750000000000005,3.0
CAMB,240.0,240.0,249.0,244.5,-3.614457831325301,,0.0,2.0
CAP,121.7,121.7,124.05,122.875,-1.8943974203949974,,0.0,2.0
CARM,16.74,16.74,17.26,17.046666666666667,-3.012746234067225,1.1585754794769867,-0.2600000000000006,3.0
CAT31,115.0,113.0,117.8,115.26666666666667,-2.3769100169779267,4.132766469065115,-1.4000000000000021,3.0
CBDG,97.0,97.0,98.5,97.83333333333333,-1.0204081632653061,1.437581123048378,-0.5000000000000017,3.0
CBE,699.9,699.9,700.0,699.9666666666667,-0.014285714285717534,0.010101525445527724,-0.050000000000108596,3.0
CBOT,3.62,3.62,3.65,3.633333333333333,-0.275482093663906,0.9707741688202061,-0.005000000000000361,3.0
CBR,96.0,96.0,96.0,96.0,0.0,0.0,0.0,1.0
